设备编号,流水日期,取款存款轧差
20020007,2019/6/15,264300
20020007,2019/6/25,111900
20020007,2019/6/26,132700
20020007,2019/6/27,514600
20020007,2019/6/28,294800
20020007,2019/6/29,107600
20020007,2019/6/30,584400
20020007,2019/7/1,125100
20020007,2019/7/2,68700
20020007,2019/7/3,76200
20020007,2019/7/4,148000
20020007,2019/7/5,90300
20020007,2019/7/6,297900
20020007,2019/7/7,234000
20020007,2019/7/8,43900
20020007,2019/7/9,33600
20020007,2019/7/10,121100
20020007,2019/7/11,-82800
20020007,2019/7/12,127800
20020007,2019/7/13,154900
20020007,2019/7/14,623800
20020007,2019/7/15,225400
20020007,2019/7/16,170500
20020007,2019/7/17,89800
20020007,2019/7/18,277500
20020007,2019/7/19,33900
20020007,2019/7/20,412100
20020007,2019/7/21,506800
20020007,2019/7/22,-29400
20020007,2019/7/23,68400
20020007,2019/7/24,113800
20020007,2019/7/25,69900
20020007,2019/7/26,225500
20020007,2019/7/27,266100
20020007,2019/7/28,441215
20020007,2019/7/29,79400
20020007,2019/7/30,213400
20020007,2019/7/31,293900
20020007,2019/8/1,3400
20020007,2019/8/2,99600
20020007,2019/8/3,214400
20020007,2019/8/4,678200
20020007,2019/8/5,-36300
20020007,2019/8/6,160500
20020007,2019/8/7,10000
20020007,2019/8/8,261800
20020007,2019/8/9,7300
20020007,2019/8/10,326600
20020007,2019/8/11,230700
20020007,2019/8/12,359700
20020007,2019/8/13,146000
20020007,2019/8/14,68900
20020007,2019/8/15,61700
20020007,2019/8/16,196700
20020007,2019/8/17,349700
20020007,2019/8/18,230600
20020007,2019/8/19,-261400
20020007,2019/8/20,198500
20020007,2019/8/21,240800
20020007,2019/8/22,321100
20020007,2019/8/23,73900
20020007,2019/8/24,314700
20020007,2019/8/25,324700
20020007,2019/8/26,59100
20020007,2019/8/27,127200
20020007,2019/8/28,249700
20020007,2019/8/29,215500
20020007,2019/8/30,57200
20020007,2019/8/31,315400
20020007,2019/9/1,151400
20020007,2019/9/2,90800
20020007,2019/9/3,-136600
20020007,2019/9/4,6300
20020007,2019/9/5,166100
20020007,2019/9/6,56100
20020007,2019/9/7,238300
20020007,2019/9/8,313000
20020007,2019/9/9,277400
20020007,2019/9/10,234500
20020007,2019/9/11,300100
20020007,2019/9/12,322600
20020007,2019/9/13,95900
20020007,2019/9/14,584900
20020007,2019/9/15,50600
20020007,2019/9/16,39300
20020007,2019/9/17,7100
20020007,2019/9/18,40100
20020007,2019/9/19,51500
20020007,2019/9/20,125200
20020007,2019/9/21,222200
20020007,2019/9/22,618400
20020007,2019/9/23,86500
20020007,2019/9/24,273200
20020007,2019/9/25,228900
20020007,2019/9/26,280200
20020007,2019/9/27,176500
20020007,2019/9/28,540000
20020007,2019/9/29,203100
20020007,2019/9/30,146300
20020007,2019/10/1,883900
20020007,2019/10/2,35400
20020007,2019/10/3,19600
20020007,2019/10/4,36500
20020007,2019/10/5,-47300
20020007,2019/10/6,358600
20020007,2019/10/7,83800
20020007,2019/10/8,471200
20020007,2019/10/9,-19300
20020007,2019/10/10,108400
20020007,2019/10/11,270100
20020007,2019/10/12,61600
20020007,2019/10/13,490900
20020007,2019/10/14,312800
20020007,2019/10/15,141000
20020007,2019/10/16,378300
20020007,2019/10/17,26900
20020007,2019/10/18,360300
20020007,2019/10/19,230800
20020007,2019/10/20,-64400
20020007,2019/10/21,96900
20020007,2019/10/22,310800
20020007,2019/10/23,299300
20020007,2019/10/24,292800
20020007,2019/10/25,167300
20020007,2019/10/26,617900
20020007,2019/10/27,195100
20020007,2019/10/28,184600
20020007,2019/10/29,294200
20020007,2019/10/30,180700
20020007,2019/10/31,629400
20020007,2019/11/1,543100
20020007,2019/11/2,242300
20020007,2019/11/3,284200
20020007,2019/11/4,-31300
20020007,2019/11/5,190400
20020007,2019/11/6,179300
20020007,2019/11/7,-37200
20020007,2019/11/8,128500
20020007,2019/11/9,182100
20020007,2019/11/10,285900
20020007,2019/11/11,112400
20020007,2019/11/12,128500
20020007,2019/11/13,165600
20020007,2019/11/14,222400
20020007,2019/11/15,176700
20020007,2019/11/16,522800
20020007,2019/11/17,252500
20020007,2019/11/18,33200
20020007,2019/11/19,73400
20020007,2019/11/20,238400
20020007,2019/11/21,171600
20020007,2019/11/22,483900
20020007,2019/11/23,460200
20020007,2019/11/24,454100
20020007,2019/11/25,-14200
20020007,2019/11/26,328000
20020007,2019/11/27,450300
20020007,2019/11/28,246550
20020007,2019/11/29,333050
20020007,2019/11/30,351850
20020007,2019/12/1,319175
20020007,2019/12/2,25025
20020007,2019/12/3,180075
20020007,2019/12/4,258400
20020007,2019/12/5,118933
20020007,2019/12/6,263034
20020007,2019/12/7,388366
20020007,2019/12/8,330833
20020007,2019/12/9,39106
20020008,2019/6/12,-28500
20020008,2019/6/25,-2600
20020008,2019/6/26,82725
20020008,2019/6/27,-69400
20020008,2019/6/28,7400
20020008,2019/6/29,101100
20020008,2019/6/30,256600
20020008,2019/7/1,19600
20020008,2019/7/2,12900
20020008,2019/7/3,-2400
20020008,2019/7/4,93600
20020008,2019/7/5,-105800
20020008,2019/7/6,25400
20020008,2019/7/7,123400
20020008,2019/7/8,-52200
20020008,2019/7/9,-53600
20020008,2019/7/10,118800
20020008,2019/7/11,8600
20020008,2019/7/12,5700
20020008,2019/7/13,4800
20020008,2019/7/14,286800
20020008,2019/7/15,45100
20020008,2019/7/16,32500
20020008,2019/7/17,42300
20020008,2019/7/18,20000
20020008,2019/7/19,14400
20020008,2019/7/20,216700
20020008,2019/7/21,60000
20020008,2019/7/22,90900
20020008,2019/7/23,-27600
20020008,2019/7/24,232200
20020008,2019/7/25,-15500
20020008,2019/7/26,345900
20020008,2019/7/27,116500
20020008,2019/7/28,-65100
20020008,2019/7/29,-20000
20020008,2019/7/30,170600
20020008,2019/7/31,214200
20020008,2019/8/1,-80700
20020008,2019/8/2,-48200
20020008,2019/8/3,-52500
20020008,2019/8/4,128100
20020008,2019/8/5,136400
20020008,2019/8/6,23900
20020008,2019/8/7,-10800
20020008,2019/8/8,173100
20020008,2019/8/9,180500
20020008,2019/8/10,68300
20020008,2019/8/11,-61700
20020008,2019/8/12,75600
20020008,2019/8/13,-20100
20020008,2019/8/14,75700
20020008,2019/8/15,-94100
20020008,2019/8/16,-98400
20020008,2019/8/17,9800
20020008,2019/8/18,497500
20020008,2019/8/19,206600
20020008,2019/8/20,70500
20020008,2019/8/21,39100
20020008,2019/8/22,-2100
20020008,2019/8/23,32200
20020008,2019/8/24,27400
20020008,2019/8/25,478100
20020008,2019/8/26,-94300
20020008,2019/8/27,75700
20020008,2019/8/28,60800
20020008,2019/8/29,-44300
20020008,2019/8/30,135100
20020008,2019/8/31,28600
20020008,2019/9/1,545500
20020008,2019/9/2,6100
20020008,2019/9/3,-24300
20020008,2019/9/4,442000
20020008,2019/9/5,3500
20020008,2019/9/6,67400
20020008,2019/9/7,-37300
20020008,2019/9/8,38200
20020008,2019/9/9,-5900
20020008,2019/9/10,26700
20020008,2019/9/11,-3600
20020008,2019/9/12,256100
20020008,2019/9/13,334800
20020008,2019/9/14,176800
20020008,2019/9/15,121300
20020008,2019/9/16,20700
20020008,2019/9/17,29100
20020008,2019/9/18,-8000
20020008,2019/9/19,-29400
20020008,2019/9/20,11000
20020008,2019/9/21,563300
20020008,2019/9/22,111400
20020008,2019/9/23,10700
20020008,2019/9/24,65300
20020008,2019/9/25,-194900
20020008,2019/9/26,164000
20020008,2019/9/27,269200
20020008,2019/9/28,481300
20020008,2019/9/29,589900
20020008,2019/9/30,55100
20020008,2019/10/1,2900
20020008,2019/10/2,65800
20020008,2019/10/3,22400
20020008,2019/10/4,43700
20020008,2019/10/5,-29400
20020008,2019/10/6,124100
20020008,2019/10/7,-4000
20020008,2019/10/8,130100
20020008,2019/10/9,-91200
20020008,2019/10/10,-80600
20020008,2019/10/11,142100
20020008,2019/10/12,112600
20020008,2019/10/13,165400
20020008,2019/10/14,248200
20020008,2019/10/15,-47700
20020008,2019/10/16,-71900
20020008,2019/10/17,192800
20020008,2019/10/18,310200
20020008,2019/10/19,-15100
20020008,2019/10/20,117200
20020008,2019/10/21,-18600
20020008,2019/10/22,47500
20020008,2019/10/23,471200
20020008,2019/10/24,117300
20020008,2019/10/25,14300
20020008,2019/10/26,5500
20020008,2019/10/27,-3700
20020008,2019/10/28,48800
20020008,2019/10/29,159800
20020008,2019/10/30,73200
20020008,2019/10/31,203100
20020008,2019/11/1,20700
20020008,2019/11/2,-3700
20020008,2019/11/3,74900
20020008,2019/11/4,400
20020008,2019/11/5,15300
20020008,2019/11/6,234900
20020008,2019/11/7,290500
20020008,2019/11/8,-16400
20020008,2019/11/9,-10500
20020008,2019/11/10,109700
20020008,2019/11/11,58100
